   n, insertion_cmp, insertion_swaps, insertion_time, quick_cmp, quick_swaps, quick_time, bubble_cmp, bubble_swaps, bubble_time, heap_cmp, heap_swaps, heap_time
 377,         69987,           34431,             61,     11776,        1031,         32,      70876,        34431,         167,    12032,       2896,        40
 378,         70506,           34689,             62,     11988,        1019,         31,      71253,        34689,         164,    12116,       2924,        41
 379,         70897,           34883,             62,     11994,        1033,         31,      71631,        34883,         163,    12139,       2931,        40
 380,         71518,           35192,             62,     11899,        1054,         32,      72010,        35192,         220,    12190,       2942,        40
 381,         72261,           35562,             63,     12254,        1052,         31,      72390,        35562,         161,    12219,       2948,        41
 382,         72464,           35662,             95,     12223,        1048,         54,      72771,        35662,         227,    12225,       2947,        40
 383,         73229,           36043,            101,     11925,        1045,         56,      73153,        36043,         234,    12300,       2966,        61
 384,         73880,           36367,            118,     11479,        1031,         52,      73536,        36367,         350,    12312,       2968,        50
 385,         74333,           36592,            320,     12382,        1028,         33,      73920,        36592,         169,    12308,       2964,        42
 386,         74746,           36797,             66,     11837,        1061,         33,      74305,        36797,         170,    12378,       2985,        41
 387,         75011,           36928,             66,     12155,        1058,         32,      74691,        36928,         168,    12479,       3013,        40
 388,         75250,           37046,             65,     12302,        1083,         33,      75078,        37046,         165,    12446,       2999,        40
 389,         75407,           37123,             66,     13015,        1049,         32,      75466,        37123,         168,    12472,       3006,        40
 390,         76070,           37453,             66,     12137,        1077,         33,      75855,        37453,         171,    12532,       3021,        42
 391,         76363,           37598,             66,     12408,        1082,         32,      76245,        37598,         173,    12535,       3021,        42
 392,         76760,           37795,             67,     12086,        1098,         32,      76636,        37795,         173,    12604,       3042,        41
 393,         77395,           38111,             67,     12394,        1116,         47,      77028,        38111,         175,    12633,       3048,        42
 394,         78032,           38428,             68,     12497,        1098,         34,      77421,        38428,         174,    12674,       3052,        41
 395,         78705,           38763,             69,     12275,        1072,         33,      77815,        38763,         172,    12654,       3044,        41
 396,         78918,           38868,             69,     12624,        1093,         33,      78210,        38868,         174,    12719,       3060,        41
 397,         79525,           39170,             69,     12531,        1091,         33,      78606,        39170,         177,    12713,       3055,        41
 398,         80312,           39562,             70,     12534,        1099,         33,      79003,        39562,         177,    12820,       3089,        41
